frecuencia_hz,y11_real_s,y11_imag_s,y11_mod_s,y11_fase_deg,y12_real_s,y12_imag_s,y12_mod_s,y12_fase_deg,y21_real_s,y21_imag_s,y21_mod_s,y21_fase_deg,y22_real_s,y22_imag_s,y22_mod_s,y22_fase_deg
10.0,2.77555756e-17,1.59195449e-09,1.59195449e-09,89.99999900105352,-2.2221911e-17,-1.37203693e-09,1.37203693e-09,-90.00000092797919,-0.741398573,1.0635871e-08,0.741398573,179.99999917805278,0.74142482,-8.53246742e-09,0.74142482,-6.593714680321578e-07
10.2329299,2.77555756e-17,1.62903588e-09,1.62903588e-09,89.99999902379233,-2.32691974e-17,-1.40399577e-09,1.40399577e-09,-90.0000009495946,-0.741398573,1.08836123e-08,0.741398573,179.99999915890714,0.74142482,-8.73121412e-09,0.74142482,-6.747302027210678e-07
10.4712855,2.77555756e-17,1.666981e-09,1.666981e-09,89.99999904601353,-2.43658409e-17,-1.43669904e-09,1.43669904e-09,-90.0000009717135,-0.741398573,1.11371242e-08,0.741398573,179.99999913931558,0.74142482,-8.93459022e-09,0.74142482,-6.904466878851745e-07
10.7151931,2.77555756e-17,1.70580997e-09,1.70580997e-09,89.99999906772891,-2.55141676e-17,-1.47016406e-09,1.47016406e-09,-90.00000099434762,-0.741398573,1.13965411e-08,0.741398573,179.99999911926767,0.74142482,-9.14270356e-09,0.74142482,-7.065292571770564e-07
10.964782,2.77555756e-17,1.74554339e-09,1.74554339e-09,89.99999908894998,-2.67166133e-17,-1.50440858e-09,1.50440858e-09,-90.00000101750895,-0.741398573,1.16620007e-08,0.741398573,179.99999909875277,0.74142482,-9.35566448e-09,0.74142482,-7.229864374441309e-07
11.2201845,2.77555756e-17,1.78620232e-09,1.78620232e-09,89.99999910968802,-2.79757285e-17,-1.53945075e-09,1.53945075e-09,-90.00000104120977,-0.741398573,1.19336436e-08,0.741398573,179.99999907776004,0.74142482,-9.5735859e-09,0.74142482,-7.398269549108888e-07
11.4815362,2.77555756e-17,1.82780831e-09,1.82780831e-09,89.99999912995399,-2.9294184e-17,-1.57530917e-09,1.5753091700000005e-09,-90.00000106546267,-0.741398573,1.22116138e-08,0.741398573,179.99999905627828,0.74142482,-9.79658337e-09,0.74142482,-7.570597390427919e-07
11.7489755,4.16333634e-17,1.87038344e-09,1.8703834400000003e-09,89.99999872463798,-3.06747763e-17,-1.61200283e-09,1.6120028300000004e-09,-90.00000109028048,-0.741398573,1.24960589e-08,0.741398573,179.9999990342962,0.74142482,-1.00247751e-08,0.74142482,-7.746939248646111e-07
12.0226443,4.16333634e-17,1.91395027e-09,1.9139502700000006e-09,89.99999875366878,-3.2120434e-17,-1.6495512e-09,1.6495512000000003e-09,-90.00000111567638,-0.741398573,1.27871295e-08,0.741398573,179.99999901180203,0.74142482,-1.02582821e-08,0.74142482,-7.927388637793365e-07
12.3026877,4.16333634e-17,1.9585319e-09,1.9585319000000005e-09,89.99999878203873,-3.36342234e-17,-1.68797419e-09,1.6879741900000004e-09,-90.00000114166382,-0.741398573,1.308498e-08,0.741398573,179.99999898878397,0.74142482,-1.04972282e-08,0.74142482,-8.11204125113737e-07
12.5892541,4.16333634e-17,2.00415196e-09,2.0041519600000004e-09,89.9999988097629,-3.52193555e-17,-1.72729215e-09,1.7272921500000004e-09,-90.00000116825659,-0.741398573,1.33897683e-08,0.741398573,179.9999989652297,0.74142482,-1.07417401e-08,0.74142482,-8.300994999822569e-07
12.8824955,4.16333634e-17,2.05083466e-09,2.0508346600000005e-09,89.99999883685601,-3.68791926e-17,-1.76752596e-09,1.7675259600000004e-09,-90.00000119546878,-0.741398573,1.37016561e-08,0.7413985730000001,179.99999894112685,0.74142482,-1.09919473e-08,0.74142482,-8.494349958775598e-07
13.1825674,4.16333634e-17,2.09860474e-09,2.0986047400000006e-09,89.9999988633324,-3.86172554e-17,-1.80869693e-09,1.8086969300000004e-09,-90.00000122331481,-0.741398573,1.40208086e-08,0.7413985730000001,179.9999989164625,0.74142482,-1.12479827e-08,0.74142482,-8.692208830372908e-07
13.4896288,4.16333634e-17,2.14748752e-09,2.1474875200000005e-09,89.99999888920611,-4.04372306e-17,-1.85082689e-09,1.8508268900000003e-09,-90.00000125180948,-0.741398573,1.43473952e-08,0.7413985730000001,179.99999889122367,0.74142482,-1.15099818e-08,0.74142482,-8.894676326217273e-07
13.8038426,4.16333634e-17,2.19750893e-09,2.1975089300000006e-09,89.99999891449087,-4.23429786e-17,-1.89393819e-09,1.8939381900000006e-09,-90.00000128096788,-0.741398573,1.4681589e-08,0.7413985730000001,179.99999886539698,0.74142482,-1.17780838e-08,0.74142482,-9.101860017195091e-07
14.1253754,4.16333634e-17,2.24869549e-09,2.2486954900000003e-09,89.99999893920008,-4.43385417e-17,-1.93805367e-09,1.9380536700000004e-09,-90.00000131080544,-0.741398573,1.50235671e-08,0.7413985730000001,179.99999883896865,0.74142482,-1.20524306e-08,0.74142482,-9.313869560697015e-07
14.4543977,4.16333634e-17,2.30107434e-09,2.30107434e-09,89.99999896334684,-4.64281528e-17,-1.98319674e-09,1.9831967400000003e-09,-90.00000134133803,-0.741398573,1.5373511e-08,0.7413985730000001,179.99999881192477,0.74142482,-1.23331677e-08,0.74142482,-9.530817396119388e-07
14.7910839,4.16333634e-17,2.35467324e-09,2.35467324e-09,89.99999898694394,-4.86162442e-17,-2.02939133e-09,2.0293913300000005e-09,-90.0000013725818,-0.741398573,1.5731606e-08,0.7413985730000001,179.99999878425095,0.74142482,-1.26204441e-08,0.74142482,-9.752818667586293e-07
15.1356125,4.16333634e-17,2.40952063e-09,2.40952063e-09,89.9999990100039,-5.09074572e-17,-2.07666193e-09,2.0766619300000003e-09,-90.00000140455334,-0.741398573,1.60980422e-08,0.7413985730000001,179.9999987559325,0.74142482,-1.2914412e-08,0.74142482,-9.979990992115753e-07
15.4881662,4.16333634e-17,2.46564557e-09,2.46564557e-09,89.99999903253897,-5.33066517e-17,-2.1250336e-09,2.1250336000000004e-09,-90.00000143726959,-0.741398573,1.64730138e-08,0.7413985730000001,179.99999872695443,0.74142482,-1.32152273e-08,0.74142482,-1.0212454846009418e-06
15.8489319,6.9388939e-17,2.52307784e-09,2.5230778400000002e-09,89.99999842426845,-5.58189168e-17,-2.17453199e-09,2.1745319900000003e-09,-90.0000014707479,-0.741398573,1.68567196e-08,0.7413985730000001,179.99999869730138,0.74142482,-1.35230495e-08,0.74142482,-1.0450333487574615e-06
16.218101,6.9388939e-17,2.58184787e-09,2.5818478700000004e-09,89.99999846013648,-5.84495813e-17,-2.22518334e-09,2.2251833400000004e-09,-90.00000150500603,-0.741398573,1.7249363e-08,0.7413985730000001,179.99999866695765,0.74142482,-1.38380418e-08,0.7414248200000001,-1.0693753034402284e-06
16.5958691,6.9388939e-17,2.64198683e-09,2.6419868300000005e-09,89.99999849518805,-6.12042252e-17,-2.27701452e-09,2.2770145200000005e-09,-90.00000154006212,-0.741398573,1.76511523e-08,0.7413985730000001,179.9999986359071,0.74142482,-1.41603712e-08,0.7414248200000001,-1.0942842540644928e-06
16.9824365,6.9388939e-17,2.70352661e-09,2.7035266100000005e-09,89.99999852944175,-6.40886915e-17,-2.330053e-09,2.3300530000000004e-09,-90.00000157593477,-0.741398573,1.80623004e-08,0.7413985730000001,179.9999986041333,0.74142482,-1.44902086e-08,0.7414248200000001,-1.1197734074294534e-06
17.3780083,8.32667268e-17,2.76649984e-09,2.7664998400000013e-09,89.9999982754989,-6.71090985e-17,-2.38432691e-09,2.384326910000001e-09,-90.00000161264302,-0.741398573,1.84830255e-08,0.7413985730000001,179.9999985716194,0.74142482,-1.4827729e-08,0.7414248200000001,-1.1458562871738453e-06
17.7827941,8.32667268e-17,2.83093989e-09,2.830939890000001e-09,89.99999831475333,-7.02718529e-17,-2.43986502e-09,2.439865020000001e-09,-90.00000165020629,-0.741398573,1.89135504e-08,0.7413985730000001,179.99999853834814,0.74142482,-1.51731111e-08,0.7414248200000001,-1.1725467028647652e-06
18.1970086,8.32667268e-17,2.89688096e-09,2.8968809600000014e-09,89.99999835311424,-7.35836633e-17,-2.49669678e-09,2.4966967800000012e-09,-90.00000168864453,-0.741398573,1.93541036e-08,0.7413985730000001,179.99999850430189,0.74142482,-1.55265383e-08,0.7414248200000001,-1.199858827275607e-06
18.6208714,8.32667268e-17,2.96435798e-09,2.9643579800000012e-09,89.99999839060193,-7.70515545e-17,-2.55485231e-09,2.554852310000001e-09,-90.00000172797812,-0.741398573,1.98049186e-08,0.7413985730000001,179.9999984694626,0.74142482,-1.58881978e-08,0.7414248200000001,-1.2278071268359204e-06
19.0546072,9.71445147e-17,3.03340675e-09,3.0334067500000012e-09,89.99999816510902,-8.06828824e-17,-2.61436247e-09,2.6143624700000013e-09,-90.0000017682279,-0.741398573,2.02662344e-08,0.7413985730000001,179.9999984338118,0.74142482,-1.62582815e-08,0.7414248200000001,-1.2564064311815531e-06
