b0,b1,b2,menos_a1,menos_a2
1.83555041440e-03,3.67110082880e-03,1.83555041440e-03,1.55478513241e+00,-6.49295449257e-01
1.00000000000e+00,2.00000000000e+00,1.00000000000e+00,1.49955451488e+00,-8.48218679428e-01
