b0,b1,b2,a0,a1,a2
1.83555037201082105e-03,3.67110074402164210e-03,1.83555037201082105e-03,1.00000000000000000e+00,-1.55478517959651463e+00,6.49295438136580749e-01
1.00000000000000000e+00,2.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.49955449681043995e+00,8.48218681716695677e-01
