"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
5,57.220458984375,57.220458984375
6.05645648479462,57.220458984375,57.220458984375
7.33613303044216,57.220458984375,57.220458984375
8.88619409310748,57.220458984375,57.220458984375
10.7637695680689,57.220458984375,57.220458984375
13.0380604002731,57.220458984375,57.220458984375
15.7928890920756,57.220458984375,57.220458984375
19.1297891110687,57.220458984375,57.220458984375
23.1717470628972,57.220458984375,57.220458984375
28.0677355526208,57.220458984375,57.220458984375
33.9982038002342,57.220458984375,57.220458984375
41.1817283754594,57.220458984375,57.220458984375
49.8830691749204,57.220458984375,57.220458984375
60.422927557181,57.220458984375,57.220458984375
73.1897662867929,76.2939453125,76.2939453125
88.6541269296498,95.367431640625,95.367431640625
107.385972389377,114.44091796875,114.44091796875
130.075693770723,133.514404296875,133.514404296875
157.559555810371,152.587890625,152.587890625
190.850518705816,190.73486328125,190.73486328125
231.175572328451,228.8818359375,228.8818359375
280.020958830951,286.102294921875,286.102294921875
339.186950398024,343.32275390625,343.32275390625
410.854201059165,419.61669921875,419.61669921875
497.664118061978,495.91064453125,495.91064453125
602.816215017212,610.3515625,610.3515625
730.186034916069,724.79248046875,724.79248046875
884.467989254779,877.38037109375,877.38037109375
1071.34837782307,1068.115234375,1068.115234375
1297.71496606815,1296.9970703125,1296.9970703125
1571.91084433169,1564.02587890625,1564.02587890625
1904.04192533433,1907.3486328125,1907.3486328125
2306.34941320239,2307.89184570312,2307.89184570312
2793.66097195837,2784.72900390625,2784.72900390625
3383.93722198699,3376.00708007813,3376.00708007813
4098.93370644819,4100.7998046875,4100.7998046875
4965.00272543228,4959.1064453125,4959.1064453125
6014.06459069346,6008.1484375,6008.1484375
7284.78409805581,7286.07177734375,7286.07177734375
8823.99557819977,8831.0244140625,8831.0244140625
10688.4290482774,10681.15234375,10681.15234375
12946.8010843414,12950.8974609375,12950.8974609375
15682.3474769211,15678.40625,15678.40625
18995.8910146802,18997.19140625,18997.19140625
23009.5574640624,23002.625,23002.625
27871.276703095,27866.36328125,27866.36328125
33760.2349055929,33760.0703125,33760.0703125
40893.4787244336,40893.55078125,40893.55078125
49533.9148812813,49533.84375,49533.84375
60000.0000000002,60005.1875,60005.1875

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)","Ch-2 (deg)"
5,0,-0.523170471191406
6.05645648479462,0,0.120697021484375
7.33613303044216,0,-0.3975830078125
8.88619409310748,0,-0.0189208984375
10.7637695680689,0,0.0424079895019531
13.0380604002731,0,-0.53656005859375
15.7928890920756,0,-0.493255615234375
19.1297891110687,0,-0.525909423828125
23.1717470628972,0,-0.619010925292969
28.0677355526208,0,-0.813156127929688
33.9982038002342,0,-0.970710754394531
41.1817283754594,0,-1.18947601318359
49.8830691749204,0,-1.48046398162842
60.422927557181,0,-1.78640747070313
73.1897662867929,0,-2.19340515136719
88.6541269296498,0,-2.66630148887634
107.385972389377,0,-3.2271728515625
130.075693770723,0,-3.90536499023437
157.559555810371,0,-4.723876953125
190.850518705816,0,-5.71208953857422
231.175572328451,0,-6.90579986572266
280.020958830951,0,-8.34744262695313
339.186950398024,0,-10.089111328125
410.854201059165,0,-12.1926822662354
497.664118061978,0,-14.7334890365601
602.816215017212,0,-17.8024597167969
730.186034916069,0,-21.5085372924805
884.467989254779,0,-25.9842987060547
1071.34837782307,0,-31.3888816833496
1297.71496606815,0,-37.9155120849609
1571.91084433169,0,-45.7967872619629
1904.04192533433,0,-55.3150634765625
2306.34941320239,0,-66.8030853271484
2793.66097195837,0,-80.6453628540039
3383.93722198699,0,-97.0777587890625
4098.93370644819,0,-116.048835754395
4965.00272543228,0,-136.758911132812
6014.06459069346,0,-157.473892211914
7284.78409805581,0,-176.433166503906
8823.99557819977,0,167.227508544922
10688.4290482774,0,153.712615966797
12946.8010843414,0,142.637725830078
15682.3474769211,0,133.547576904297
18995.8910146802,0,126.091827392578
23009.5574640624,0,119.932800292969
27871.276703095,0,114.740600585938
33760.2349055929,0,110.295974731445
40893.4787244336,0,106.26668548584
49533.9148812813,0,102.418991088867
60000.0000000002,0,98.262336730957

