"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
5,4.99864339828491
6.91244082704935,6.93202781677246
9.55636763749175,9.57558441162109
13.2115651631382,13.2269611358643
18.2648324845799,18.2817649841309
25.2509147531255,25.2690620422363
34.9090908119695,34.9276542663574
48.2614049127663,48.2441864013672
66.7208211379531,66.7081451416016
92.2407456096489,92.2273788452148
127.521739173922,127.531997680664
176.297295240432,176.30859375
243.728924263667,243.734313964844
336.952353362598,336.946472167969
465.832640830796,465.8369140625
644.008113010202,644.006774902344
890.333594664547,890.335144042969
1230.87565789056,1230.87609863281
1701.67103012479,1701.67211914062
2352.54006056835,2352.54052734375
3252.35879238837,3252.3583984375
4496.34754014365,4496.35009765625
6216.14726181838,6216.15380859375
8593.75002390888,8593.755859375
11880.7577045448,11880.7392578125
16425.0069226354,16425.015625
22707.3776873186,22707.44921875
31392.6809202101,31392.357421875
43400.0098526787,43399.19140625
60000,18146.75

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
5,54.1251052347435
6.91244082704935,54.2454916648115
9.55636763749175,54.3565909451366
13.2115651631382,54.434587512058
18.2648324845799,54.4553142201481
25.2509147531255,54.4756394052671
34.9090908119695,54.4844935521844
48.2614049127663,54.4954348372374
66.7208211379531,54.4925197509967
92.2407456096489,54.4908303958952
127.521739173922,54.4929815095523
176.297295240432,54.475748328928
243.728924263667,54.4632926180509
336.952353362598,54.4460399287178
465.832640830796,54.4104181459291
644.008113010202,54.3508026140697
890.333594664547,54.2474296330291
1230.87565789056,54.063088832122
1701.67103012479,53.7247959224559
2352.54006056835,53.0843844773744
3252.35879238837,51.8084904196442
4496.34754014365,49.1794863511266
6216.14726181838,44.4846765804082
8593.75002390888,37.8603136272947
11880.7577045448,30.2450516480846
16425.0069226354,22.1825994771301
22707.3776873186,13.9300622716383
31392.6809202101,5.56474568419588
43400.0098526787,-2.82655735423714
60000,-10.8054209796595

