indice,b_scipy_float64,b_cmsis_float32_equivalente
316,-3.95440356188534608e-05,-3.95440365537069738e-05
317,-7.52160223749212987e-05,-7.52160194679163396e-05
318,-1.03524320045524079e-04,-1.03524318546988070e-04
319,-1.21698197028520180e-04,-1.21698198199737817e-04
320,-1.27959020839801834e-04,-1.27959021483547986e-04
321,-1.21694328095968421e-04,-1.21694327390287071e-04
322,-1.03517738275660229e-04,-1.03517741081304848e-04
323,-7.52088502911683692e-05,-7.52088526496663690e-05
324,-3.95390089733655911e-05,-3.95390088669955730e-05
325,5.48801268924684259e-18,5.48801249204431741e-18
326,3.95377669130933583e-05,3.95377683162223548e-05
327,7.52041255638773366e-05,7.52041232772171497e-05
328,1.03507984938947821e-04,1.03507984022144228e-04
329,1.21679043098474074e-04,1.21679040603339672e-04
330,1.27938935819956894e-04,1.27938939840532839e-04
331,1.21675280887233533e-04,1.21675278933253139e-04
332,1.03501584798461931e-04,1.03501581179443747e-04
333,7.51971515390329685e-05,7.51971529098227620e-05
334,3.95328792164379496e-05,3.95328788727056235e-05
335,-4.03427079496398326e-18,-4.03427068962319808e-18
336,-3.95316813680687357e-05,-3.95316819776780903e-05
337,-7.51925950523435347e-05,-7.51925981603562832e-05
338,-1.03492178973705300e-04,-1.03492180642206222e-04
339,-1.21660540955848202e-04,-1.21660537843126804e-04
340,-1.27919567814787071e-04,-1.27919571241363883e-04
341,-1.21656946126616440e-04,-1.21656943520065397e-04
342,-1.03486063669877291e-04,-1.03486061561852694e-04
343,-7.51859315724153106e-05,-7.51859333831816912e-05
344,-3.95270114792322066e-05,-3.95270108128897846e-05
345,2.81573044509072011e-18,2.81573045655117232e-18
346,3.95258788528181487e-05,3.95258794014807791e-05
347,7.51816232571089380e-05,7.51816260162740946e-05
348,1.03477170393031863e-04,1.03477170341648161e-04
349,1.21643009971851592e-04,1.21643010061234236e-04
350,1.27901256903065452e-04,1.27901250380091369e-04
351,1.21639651341852909e-04,1.21639648568816483e-04
352,1.03471457010021473e-04,1.03471458714921027e-04
353,7.51753979316793319e-05,7.51753977965563536e-05
354,3.95215162323737869e-05,3.95215174648910761e-05
355,-1.09013935362557257e-18,-1.09013936472968036e-18
356,-3.95204725887374317e-05,-3.95204733649734408e-05
357,-7.51714281832198400e-05,-7.51714251236990094e-05
358,-1.03463262922631795e-04,-1.03463265986647457e-04
359,-1.21626811540427514e-04,-1.21626813779585063e-04
360,-1.27884387676627546e-04,-1.27884384710341692e-04
361,-1.21623766707919617e-04,-1.21623765153344721e-04
362,-1.03458083483986852e-04,-1.03458085504826158e-04
363,-7.51657849033608965e-05,-7.51657862565480173e-05
364,-3.95165181105049240e-05,-3.95165188820101321e-05
365,2.20146493475906742e-19,2.20146494459716342e-19
366,3.95155901677411982e-05,3.95155911974143237e-05
367,7.51622553674873522e-05,7.51622574171051383e-05
368,1.03450798455066950e-04,1.03450794995296746e-04
369,1.21612352244912330e-04,1.21612349175848067e-04
370,1.27869392581519476e-04,1.27869396237656474e-04
371,1.21609708235585203e-04,1.21609708003234118e-04
372,1.03446301023397369e-04,1.03446298453491181e-04
373,7.51573555041941968e-05,7.51573534216731787e-05
374,3.95121569588442208e-05,3.95121569454204291e-05
375,-6.04164765882348784e-18,-6.04164778474850905e-18
376,-3.95113746057968371e-05,-3.95113747799769044e-05
377,-7.51543798889855498e-05,-7.51543775550089777e-05
378,-1.03440159825950081e-04,-1.03440157545264810e-04
379,-1.21600087132250364e-04,-1.21600089187268168e-04
380,-1.27856755371732426e-04,-1.27856750623323023e-04
381,-1.21597941066546678e-04,-1.21597942779771984e-04
382,-1.03436509638275920e-04,-1.03436512290500104e-04
383,-7.51504035304419686e-05,-7.51504048821516335e-05
384,-3.95085889139355298e-05,-3.95085880882106721e-05
385,4.96349991252533410e-18,4.96349974716628022e-18
386,3.95079854302774101e-05,3.95079841837286949e-05
387,7.51481084436310750e-05,7.51481056795455515e-05
388,1.03431773678024769e-04,1.03431775642093271e-04
389,1.21590523089880947e-04,1.21590521303005517e-04
390,1.27847014670353607e-04,1.27847015392035246e-04
391,1.21588982870212575e-04,1.21588986075948924e-04
392,1.03429154314903034e-04,1.03429156297352165e-04
393,7.51452556693785987e-05,7.51452535041607916e-05
394,3.95059875168733774e-05,3.95059869333636016e-05
395,-3.07013737890023847e-18,-3.07013729856736896e-18
396,-3.95055997995199764e-05,-3.95056013076100498e-05
397,-7.51437814795610575e-05,-7.51437837607227266e-05
398,-1.03426113408254205e-04,-1.03426114947069436e-04
399,-1.21584222319721369e-04,-1.21584220323711634e-04
400,-1.27840767632224274e-04,-1.27840772620402277e-04
401,-1.21583407336397283e-04,-1.21583405416458845e-04
402,-1.03424727994757038e-04,-1.03424725239165127e-04
403,-7.51422736692801830e-05,-7.51422703615389764e-05
404,-3.95045448571331457e-05,-3.95045462937559932e-05
405,1.61642033307607694e-18,1.61642031156462621e-18
406,3.95044136524508544e-05,3.95044153265189379e-05
407,7.51417753894088127e-05,7.51417755964212120e-05
408,1.03423702192772504e-04,1.03423699329141527e-04
409,1.21581805903013283e-04,1.21581804705783725e-04
410,1.27838673701352102e-04,1.27838677144609392e-04
411,1.21581847757481904e-04,1.21581848361529410e-04
412,1.03423774628944311e-04,1.03423772088717669e-04
413,7.51418565638792242e-05,7.51418556319549680e-05
414,3.95044727447104637e-05,3.95044735341798514e-05
415,-2.52643056126523889e-20,-2.52643060305686303e-20
416,-3.95046428861819320e-05,-3.95046445191837847e-05
417,-7.51425047552268258e-05,-7.51425031921826303e-05
418,-1.03425116083713043e-04,-1.03425118140876293e-04
419,-1.21583957448841270e-04,-1.21583958389237523e-04
420,-1.27841458455580449e-04,-1.27841456560418010e-04
421,-1.21585000692766274e-04,-1.21584998851176351e-04
422,-1.03426892301950612e-04,-1.03426893474534154e-04
423,-7.51444429466060815e-05,-7.51444458728656173e-05
424,-3.95060039082939198e-05,-3.95060051232576370e-05
425,-9.05374323867246382e-19,-9.05374306050395088e-19
426,3.95065245589975073e-05,3.95065253542270511e-05
427,7.51464246413661936e-05,7.51464249333366752e-05
428,1.03430987171213687e-04,1.03430989838670939e-04
429,1.21591426818540575e-04,1.21591423521749675e-04
430,1.27849917530134175e-04,1.27849911223165691e-04
431,1.21593629707043670e-04,1.21593628136906773e-04
432,1.03434736417719691e-04,1.03434736956842244e-04
433,7.51505132897115671e-05,7.51505140215158463e-05
434,3.95093932166670357e-05,3.95093920815270394e-05
435,-4.15235772645510022e-18,-4.15235775310034948e-18
436,-3.95103181161259566e-05,-3.95103197661228478e-05
437,-7.51540329299339727e-05,-7.51540355850011110e-05
438,-1.03442006803393369e-04,-1.03442005638498813e-04
439,-1.21605033917297938e-04,-1.21605036838445812e-04
440,-1.27864920610890737e-04,-1.27864914247766137e-04
441,-1.21608569174517147e-04,-1.21608565677888691e-04
442,-1.03448022940629637e-04,-1.03448022855445743e-04
443,-7.51605923025980190e-05,-7.51605912228114903e-05
444,-3.95149189204635812e-05,-3.95149181713350117e-05
445,3.98471099924696610e-18,3.98471099040269598e-18
446,3.95163066351502401e-05,3.95163078792393208e-05
447,7.51658726931932528e-05,7.51658735680393875e-05
448,1.03458928856281615e-04,1.03458929515909404e-04
449,1.21625672543517935e-04,1.21625671454239637e-04
450,1.27887415487334998e-04,1.27887411508709192e-04
451,1.21630728138534736e-04,1.21630728244781494e-04
452,1.03467531683017238e-04,1.03467529697809368e-04
453,7.51752513234000094e-05,7.51752522774040699e-05
454,3.95228839110713833e-05,3.95228853449225426e-05
455,-2.28068411698079554e-18,-2.28068418695773174e-18
456,-3.95247980879319939e-05,-3.95247989217750728e-05
457,-7.51825345966238993e-05,-7.51825355109758675e-05
458,-1.03482573045086409e-04,-1.03482576378155500e-04
459,-1.21654314285717105e-04,-1.21654316899366677e-04
460,-1.27918432154365953e-04,-1.27918436191976070e-04
461,-1.21661094216671207e-04,-1.21661090815905482e-04
462,-1.03494109630401703e-04,-1.03494108770973980e-04
463,-7.51951107372686667e-05,-7.51951083657331765e-05
464,-3.95336169931674632e-05,-3.95336173824034631e-05
465,1.68053302172768499e-18,1.68053301289208001e-18
466,3.95361266154625017e-05,3.95361275877803564e-05
467,7.52046593259520234e-05,7.52046616980805993e-05
468,1.03513828267431647e-04,1.03513826616108418e-04
469,1.21692012455884834e-04,1.21692013635765761e-04
470,1.27959086951241941e-04,1.27959079691208899e-04
471,1.21700737539998560e-04,1.21700737508945167e-04
472,1.03528674294788248e-04,1.03528676845598966e-04
473,7.52208424142987881e-05,7.52208434278145432e-05
474,3.95474741672629821e-05,3.95474744436796755e-05
475,9.15763836984369741e-19,9.15763797941637685e-19
476,-3.95506538119352617e-05,-3.95506540371570736e-05
477,-7.52329400308574632e-05,-7.52329433453269303e-05
478,-1.03553655968650617e-04,-1.03553655208088458e-04
479,-1.21739906047487980e-04,-1.21739903988782316e-04
480,-1.28010586725153504e-04,-1.28010593471117318e-04
481,-1.21750814714536101e-04,-1.21750817925203592e-04
482,-1.03572217085760179e-04,-1.03572216175962240e-04
483,-7.52531721596607332e-05,-7.52531705074943602e-05
484,-3.95648399182230758e-05,-3.95648385165259242e-05
485,5.01725733934626512e-18,5.01725738799548894e-18
486,3.95687700139203674e-05,3.95687711716163903e-05
487,7.52681247777997852e-05,7.52681226003915071e-05
488,1.03603093518342515e-04,1.03603095340076834e-04
489,1.21799223705510676e-04,1.21799224871210754e-04
490,1.28074233006058479e-04,1.28074228996410966e-04
491,1.21812572792091798e-04,1.21812576253432781e-04
492,1.03625806688471554e-04,1.03625803603790700e-04
493,7.52928821678972270e-05,7.52928826841525733e-05
494,3.95861285055278708e-05,3.95861279685050249e-05
495,-3.02457332540358782e-18,-3.02457329529580426e-18
496,-3.95908955905186960e-05,-3.95908973587211221e-05
497,-7.53110190035978874e-05,-7.53110216464847326e-05
498,-1.03663257586980080e-04,-1.03663260233588517e-04
499,-1.21871287695096220e-04,-1.21871285955421627e-04
500,-1.28151426178632193e-04,-1.28151426906697452e-04
501,-1.21887353236969738e-04,-1.21887351269833744e-04
502,-1.03690592436917861e-04,-1.03690596006345004e-04
503,-7.53408134729090495e-05,-7.53408166929148138e-05
504,-3.96117852508702929e-05,-3.96117866330314428e-05
505,2.77696789537935946e-18,2.77696794586632489e-18
506,3.96174822297809385e-05,3.96174837078433484e-05
507,7.53624879612577593e-05,7.53624844946898520e-05
508,1.03735347510507751e-04,1.03735350421629846e-04
509,1.21957517854675264e-04,1.21957520605064929e-04
510,1.28243669636327588e-04,1.28243671497330070e-04
511,1.21976595874233215e-04,1.21976598165929317e-04
512,1.03767807670249201e-04,1.03767808468546718e-04
513,7.53978683847553356e-05,7.53978674765676260e-05
514,3.96422878182300147e-05,3.96422874473500997e-05
515,-1.83514868681962093e-18,-1.83514878580987939e-18
